order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
4,1,1,1,125,stimuli/animals/ladybug.jpg,Invertebrates,2,3
4,1,2,1,77,stimuli/animals/watusi.jpg,Mammals,1,2
4,1,3,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,1
4,1,4,2,353,stimuli/tools/television.jpg,Devices,2,3
4,1,5,2,326,stimuli/tools/ropeandpulley.jpg,Household,1,2
4,1,6,2,302,stimuli/tools/pencilsharpener.jpg,Devices,2,3
4,1,7,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,2,3
4,1,8,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,2,3
4,1,9,1,161,stimuli/animals/catfish.jpg,SeaDwellers,2,3
4,1,10,1,28,stimuli/animals/duck.jpg,Birds,1,2
4,1,11,2,358,stimuli/tools/crutches.jpg,Household,1,1
4,1,12,2,245,stimuli/tools/padlock.jpg,Household,1,1
4,1,13,1,98,stimuli/animals/wasp.jpg,Invertebrates,1,2
4,1,14,1,71,stimuli/animals/butterfly.jpg,Invertebrates,2,3
4,1,15,2,315,stimuli/tools/generator.jpg,Devices,2,3
4,1,16,2,328,stimuli/tools/stove.jpg,Household,1,1
4,1,17,2,303,stimuli/tools/stethoscope.jpg,Household,2,3
4,1,18,1,14,stimuli/animals/tiger.jpg,Mammals,2,3
4,1,19,1,155,stimuli/animals/balloonfish.jpg,SeaDwellers,2,3
4,1,20,1,129,stimuli/animals/emu.jpg,Birds,2,3
4,1,21,1,122,stimuli/animals/clownfish.jpg,SeaDwellers,1,2
4,1,22,1,81,stimuli/animals/ostrich.jpg,Birds,1,2
4,1,23,1,74,stimuli/animals/reindeer.jpg,Mammals,1,2
4,1,24,2,322,stimuli/tools/walker.jpg,Household,1,2
4,1,25,2,306,stimuli/tools/floorbuffer.jpg,Household,1,1
4,1,26,2,250,stimuli/tools/laptop.jpg,Devices,2,3
4,1,27,1,85,stimuli/animals/hummingbird.jpg,Birds,2,3
4,1,28,2,309,stimuli/tools/carabiner.jpg,Toolbox,1,1
4,1,29,2,349,stimuli/tools/faxmachine.jpg,Devices,2,3
4,1,30,1,44,stimuli/animals/mink.jpg,Mammals,1,2
4,1,31,1,9,stimuli/animals/rooster.jpg,Birds,1,2
4,1,32,2,188,stimuli/tools/bolt.jpg,Toolbox,1,2
4,1,33,1,166,stimuli/animals/ibises.jpg,Birds,2,3
4,1,34,2,200,stimuli/tools/clippers.jpg,Toolbox,2,3
4,1,35,2,333,stimuli/tools/treadmill.jpg,Devices,2,3
4,1,36,1,113,stimuli/animals/moth.jpg,Invertebrates,1,1
4,1,37,1,156,stimuli/animals/mealworm.jpg,Invertebrates,1,1
4,1,38,2,207,stimuli/tools/ducttape.jpg,Household,1,1
4,1,39,2,300,stimuli/tools/digitalcamera.jpg,Devices,1,1
4,1,40,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,1
4,1,41,1,5,stimuli/animals/horse.jpg,Mammals,2,3
4,1,42,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1
4,1,43,1,65,stimuli/animals/minnow.jpg,SeaDwellers,2,3
4,1,44,2,203,stimuli/tools/chainsaw.jpg,Powertools,1,2
4,1,45,1,142,stimuli/animals/palmcockatoo.jpg,Birds,2,3
4,1,46,2,292,stimuli/tools/burnisher.jpg,Toolbox,2,3
4,1,47,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,2,3
4,1,48,1,19,stimuli/animals/panda.jpg,Mammals,1,1
4,1,49,1,102,stimuli/animals/ferret.jpg,Mammals,2,3
4,1,50,2,189,stimuli/tools/measuringtape.jpg,Toolbox,1,1
4,1,51,2,194,stimuli/tools/hoe.jpg,Toolbox,1,2
4,1,52,2,305,stimuli/tools/whistle.jpg,Household,1,1
4,1,53,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,3
4,1,54,2,256,stimuli/tools/drillpress.jpg,Powertools,2,3
4,1,55,2,209,stimuli/tools/broom.jpg,Household,1,2
4,1,56,2,332,stimuli/tools/reflexhammer.jpg,Household,2,3
4,1,57,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,2
4,1,58,1,89,stimuli/animals/dove.jpg,Birds,2,3
4,1,59,2,227,stimuli/tools/wateringcan.jpg,Household,1,2
4,1,60,2,266,stimuli/tools/workbench.jpg,Powertools,1,1
4,1,61,2,208,stimuli/tools/stapler.jpg,Household,2,3
4,1,62,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,3
4,1,63,2,313,stimuli/tools/airpump.jpg,Household,1,2
4,1,64,2,202,stimuli/tools/flashlight.jpg,Household,2,3
4,1,65,2,182,stimuli/tools/pliers.jpg,Toolbox,2,3
4,1,66,2,282,stimuli/tools/keys.jpg,Household,1,1
4,1,67,2,287,stimuli/tools/scale.jpg,Household,1,2
4,1,68,1,38,stimuli/animals/fox.jpg,Mammals,1,1
4,1,69,2,231,stimuli/tools/squeegee.jpg,Toolbox,1,1
4,1,70,1,137,stimuli/animals/springhare.jpg,Mammals,1,1
4,1,71,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,1,2
4,1,72,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,1,1
4,1,73,2,341,stimuli/tools/caliper.jpg,Toolbox,2,3
4,1,74,2,249,stimuli/tools/kettle.jpg,Household,1,2
4,1,75,2,218,stimuli/tools/drillbit.jpg,Powertools,2,3
4,1,76,2,310,stimuli/tools/compass.jpg,Toolbox,1,2
4,1,77,1,147,stimuli/animals/beardeddragon.jpg,ReptilesAmph,1,1
4,1,78,1,21,stimuli/animals/wolf.jpg,Mammals,2,3
4,1,79,2,223,stimuli/tools/rake.jpg,Household,1,2
4,1,80,1,8,stimuli/animals/lion.jpg,Mammals,2,3
4,1,81,1,32,stimuli/animals/turtle.jpg,ReptilesAmph,2,3
4,1,82,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,2,3
4,1,83,2,235,stimuli/tools/bottleopener.jpg,Household,2,3
4,1,84,2,290,stimuli/tools/stroller.jpg,Household,1,1
4,1,85,1,119,stimuli/animals/stickinsect.jpg,Invertebrates,1,2
4,1,86,1,80,stimuli/animals/heckcattle.jpg,Mammals,2,3
4,1,87,1,148,stimuli/animals/cranebug.jpg,Invertebrates,2,3
4,1,88,2,335,stimuli/tools/binoculars.jpg,Household,2,3
4,1,89,2,281,stimuli/tools/file.jpg,Household,1,1
4,1,90,2,324,stimuli/tools/lighterbic.jpg,Household,1,1
4,1,91,1,63,stimuli/animals/marlin.jpg,SeaDwellers,2,3
4,1,92,1,107,stimuli/animals/bass.jpg,SeaDwellers,2,3
4,1,93,1,33,stimuli/animals/cheetah.jpg,Mammals,1,1
4,1,94,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,1,1
4,1,95,1,173,stimuli/animals/phasmagigas.jpg,Invertebrates,1,2
4,1,96,2,219,stimuli/tools/handsander.jpg,Powertools,1,1
4,1,97,2,342,stimuli/tools/crank.jpg,Toolbox,1,2
4,1,98,1,140,stimuli/animals/crane.jpg,Birds,2,3
4,1,99,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,2,3
4,1,100,2,258,stimuli/tools/pizzacutter.jpg,Household,2,3
